Geneid	S1	S2	S3	S4	S5	S6	S7	S8
ENSG00000223972.5	0	0	0	1	0	0	0	0
ENSG00000227232.5	0	0	0	0	0	0	0	0
ENSG00000278267.1	0	0	1	0	0	0	4	0
ENSG00000243485.5	0	0	0	0	0	0	0	0
ENSG00000284332.1	0	0	0	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0	0	0	0
ENSG00000268020.3	0	0	0	0	0	0	0	0
ENSG00000240361.2	0	0	0	3	0	0	0	0
ENSG00000186092.7	0	0	0	0	0	0	2	0
ENSG00000238009.6	0	0	1	0	0	0	0	0
ENSG00000239945.1	0	0	0	0	0	0	0	0
ENSG00000233750.3	0	0	1	0	0	0	0	0
ENSG00000268903.1	0	0	0	0	0	0	0	0
ENSG00000269981.1	0	0	0	0	0	0	0	0
ENSG00000239906.1	0	0	0	0	0	0	0	0
ENSG00000241860.7	3	9	2	5	0	7	2	7
ENSG00000222623.1	0	0	0	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0	0	0	0
ENSG00000279928.2	0	0	0	0	0	0	0	0
ENSG00000279457.4	0	11	26	10	0	3	14	28
ENSG00000273874.1	0	0	0	0	0	0	0	0
ENSG00000228463.10	0	1	0	0	0	0	0	0
ENSG00000286448.1	1	0	0	0	0	0	0	2
ENSG00000236679.2	0	0	0	0	0	0	0	0
ENSG00000236601.2	0	0	0	0	0	0	0	0
ENSG00000237094.12	20	6	16	1	0	0	5	5
ENSG00000269732.1	0	0	0	0	0	0	0	0
ENSG00000284733.2	0	0	0	0	0	0	0	0
ENSG00000233653.3	0	0	0	0	0	0	0	0
ENSG00000250575.1	0	0	0	0	0	0	0	0
ENSG00000278757.1	0	0	0	0	0	0	0	0
ENSG00000230021.10	0	0	1	0	0	0	3	4
ENSG00000235146.2	0	0	0	0	0	0	0	0
ENSG00000225972.1	0	0	2	0	0	0	0	0
ENSG00000225630.1	12	0	64	14	7	9	9	12
ENSG00000237973.1	9	7	12	10	8	27	2	7
ENSG00000278791.1	0	0	0	0	0	0	0	0
ENSG00000229344.1	0	0	6	1	2	1	0	0
ENSG00000240409.1	0	0	0	2	0	0	0	0
ENSG00000248527.1	46	82	343	99	114	103	51	137
ENSG00000198744.5	0	1	2	2	3	2	0	0
ENSG00000268663.1	0	0	0	0	0	0	0	0
ENSG00000284662.2	0	0	0	0	0	0	0	0
ENSG00000229376.3	0	0	0	0	0	0	0	0
ENSG00000228327.4	14	11	21	9	12	0	8	11
ENSG00000223181.1	0	0	0	0	0	0	0	0
ENSG00000229905.1	0	0	0	0	0	0	0	0
ENSG00000237491.10	5	0	13	3	9	0	0	12
ENSG00000285268.1	0	0	0	0	0	0	0	0
ENSG00000230092.7	2	0	7	0	0	1	4	10
ENSG00000177757.2	0	11	0	2	0	2	5	2
ENSG00000228794.11	17	49	106	64	6	18	75	111
ENSG00000225880.5	39	90	45	17	4	2	42	40
ENSG00000288531.1	2	0	4	1	0	0	0	0
ENSG00000230368.2	1	0	0	0	0	0	0	0
ENSG00000234711.1	0	0	0	0	0	0	0	0
ENSG00000283040.1	7	0	0	0	0	0	0	0
ENSG00000272438.1	0	0	2	0	0	0	4	8
ENSG00000230699.2	0	0	7	0	0	0	4	0
ENSG00000241180.1	0	0	0	0	0	0	1	0
ENSG00000223764.2	2	5	8	1	0	1	0	8
ENSG00000187634.13	4	0	9	4	0	0	3	4
ENSG00000188976.11	277	309	605	389	115	116	338	353
ENSG00000187961.15	19	27	158	98	5	11	116	136
ENSG00000187583.11	11	1	1	9	0	0	4	0
ENSG00000187642.10	65	33	7	3	7	16	0	12
ENSG00000272512.1	7	5	1	5	1	0	0	0
ENSG00000188290.11	507	353	123	107	273	215	329	453
ENSG00000187608.10	955	923	684	399	4843	5499	10810	9799
ENSG00000231702.2	0	0	0	0	0	0	0	0
ENSG00000224969.1	0	5	7	3	1	3	13	7
ENSG00000188157.15	55	46	79	66	20	24	147	92
ENSG00000242590.1	0	0	0	0	0	0	0	0
ENSG00000217801.11	389	332	48	30	203	244	181	199
ENSG00000273443.1	21	28	0	1	28	11	12	0
ENSG00000237330.3	0	2	0	0	3	0	0	0
ENSG00000131591.18	39	47	126	70	19	6	106	90
ENSG00000285812.1	0	10	0	0	0	0	0	5
ENSG00000223823.1	0	0	3	0	0	0	1	0
ENSG00000207730.3	0	0	0	0	0	0	0	0
ENSG00000207607.3	0	0	0	0	0	0	0	0
ENSG00000198976.1	0	0	0	0	0	0	0	0
ENSG00000272141.1	5	0	2	0	0	0	1	0
ENSG00000205231.1	0	0	0	3	0	3	0	0
ENSG00000162571.14	0	2	4	5	0	0	4	3
ENSG00000186891.14	3	0	0	5	6	0	2	0
ENSG00000186827.11	9	6	7	5	0	4	7	2
ENSG00000078808.19	378	381	320	235	116	176	220	286
ENSG00000176022.7	15	46	269	201	1	5	282	220
ENSG00000184163.3	2	1	3	6	2	2	2	1
ENSG00000260179.1	0	0	0	4	0	0	4	1
ENSG00000160087.21	207	306	554	336	81	166	642	473
ENSG00000230415.1	1	0	3	0	0	0	5	4
ENSG00000162572.21	1	11	26	20	0	0	10	20
ENSG00000131584.19	97	72	311	196	18	29	263	213
ENSG00000278073.1	0	0	0	0	0	0	0	0
ENSG00000169972.12	121	116	258	210	45	67	289	155
ENSG00000127054.22	440	507	1042	645	233	182	700	657
ENSG00000283712.1	0	0	0	0	0	0	0	0
ENSG00000240731.1	0	1	8	8	0	3	4	0
ENSG00000224051.7	23	20	121	48	0	3	135	90
ENSG00000169962.5	3	3	6	7	0	0	0	4
ENSG00000107404.21	253	242	598	330	88	73	598	431
ENSG00000284372.1	0	0	0	0	0	0	0	0
ENSG00000162576.17	29	10	11	4	0	1	6	11
ENSG00000175756.14	1057	1067	1756	1188	792	1026	2065	1580
ENSG00000223663.2	0	0	0	0	0	0	0	0
ENSG00000221978.13	236	224	1269	464	50	52	534	461
ENSG00000224870.8	21	18	297	182	1	10	288	194
ENSG00000242485.6	441	370	2701	1763	602	636	2105	1926
ENSG00000264293.2	0	0	0	0	0	0	0	0
ENSG00000272455.1	0	0	48	19	0	0	22	31
ENSG00000235098.9	29	37	10	13	6	0	6	0
ENSG00000225905.1	0	0	0	0	0	0	0	0
ENSG00000205116.4	0	0	12	3	0	0	0	0
ENSG00000225285.1	7	0	6	7	0	2	23	4
ENSG00000179403.12	170	177	90	40	23	17	72	56
ENSG00000215915.10	1	7	8	1	0	0	3	5
ENSG00000160072.20	314	264	934	610	178	274	906	890
ENSG00000284740.2	2	0	4	16	0	5	7	0
ENSG00000197785.14	63	114	268	202	57	56	251	204
ENSG00000205090.9	4	4	0	3	0	0	0	0
ENSG00000160075.12	622	598	3536	2266	469	516	2835	2380
ENSG00000215014.5	16	10	50	36	0	0	62	53
ENSG00000274481.1	0	0	0	1	0	0	0	0
ENSG00000228594.4	29	31	417	332	6	25	504	395
ENSG00000286989.1	29	5	9	3	0	0	16	1
ENSG00000272106.1	100	130	145	100	17	22	103	77
ENSG00000197530.13	89	65	106	63	16	34	128	104
ENSG00000189409.14	0	0	0	0	0	0	0	0
ENSG00000248333.9	70	92	91	50	16	17	58	71
ENSG00000272004.1	0	0	0	0	0	0	0	1
ENSG00000189339.12	71	87	313	153	55	50	186	212
ENSG00000269737.2	3	0	7	7	0	0	15	15
ENSG00000215914.4	0	0	0	0	0	6	0	0
ENSG00000008128.23	0	0	10	2	0	4	10	3
ENSG00000268575.1	7	9	24	19	7	8	38	27
ENSG00000227775.3	0	3	12	12	0	0	5	14
ENSG00000215790.8	38	42	25	38	37	40	37	48
ENSG00000008130.15	195	225	881	600	81	112	1024	813
ENSG00000078369.18	3870	3989	4782	2535	1550	1575	4595	3619
ENSG00000231050.2	19	29	19	22	4	5	5	15
ENSG00000169885.10	0	1	3	1	0	0	6	1
ENSG00000178821.13	310	252	201	149	58	78	181	205
ENSG00000142609.20	20	44	33	23	27	31	36	27
ENSG00000233542.2	0	0	0	2	0	0	0	0
ENSG00000187730.9	50	16	11	9	7	22	10	16
ENSG00000226969.1	8	7	0	2	6	19	2	3
ENSG00000067606.17	146	142	325	218	137	99	305	250
ENSG00000271806.1	9	0	10	3	0	0	3	3
ENSG00000182873.5	1	5	5	0	0	0	2	0
ENSG00000162585.17	658	596	588	477	244	229	937	820
ENSG00000234396.3	0	0	1	0	0	2	0	0
ENSG00000157933.10	108	60	172	98	11	25	183	155
ENSG00000287356.1	16	14	19	22	3	11	39	19
ENSG00000116151.14	29	27	41	24	19	33	68	55
ENSG00000272161.1	0	0	0	0	0	0	0	0
ENSG00000269896.2	0	1	11	1	0	0	1	3
ENSG00000272420.1	0	4	3	0	0	0	0	0
ENSG00000157916.20	375	319	836	490	262	300	498	476
ENSG00000157911.11	96	71	214	143	34	18	151	178
ENSG00000149527.18	12	5	13	8	0	2	2	0
ENSG00000224387.1	0	0	1	0	0	0	0	0
ENSG00000229393.1	4	0	0	0	0	0	0	0
ENSG00000157881.16	84	94	163	120	17	21	164	125
ENSG00000197921.6	44	44	19	20	30	20	43	36
ENSG00000272449.2	43	82	33	31	24	12	59	49
ENSG00000238164.6	2	0	6	0	3	0	0	0
ENSG00000157873.18	12	5	8	21	0	3	20	15
ENSG00000225931.3	0	5	0	0	0	1	0	0
ENSG00000228037.1	2	0	0	4	0	0	0	0
ENSG00000289610.1	0	7	5	2	0	0	0	1
ENSG00000157870.17	10	0	193	97	4	5	200	142
ENSG00000142606.16	0	1	4	2	0	0	0	0
ENSG00000237058.1	0	0	0	0	0	0	0	0
ENSG00000215912.12	6	0	9	15	0	1	8	10
