"entrez","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"2023",55930.38397733331,2.6485914932517374,0.08571053903544153,8.251413673354723e-209,1.1094025683825426e-204,"ENO1"
"226",69246.20350639011,2.9972397096848056,0.11119577855928925,3.743516216466659e-161,2.5165787765197113e-157,"ALDOA"
"7316",263107.23656514566,3.420154652240927,0.1270611823216161,6.5077143683883284e-161,2.9165406560993697e-157,"UBC"
"3303",4480.463723740201,4.832536233634072,0.201894284162648,2.320404860549251e-130,7.79946083752117e-127,"HSPA1A"
"60370",1047.3494032015474,3.705961116418891,0.15786610772982343,5.342022230903024e-124,1.436469777889823e-120,"AVPI1"
"3304",6001.117962330923,4.711785906567,0.20967982819337647,2.4329698368930115e-115,5.4518799095044235e-112,"HSPA1B"
"90226",699.5456146198519,3.653582003523394,0.16611311723082045,7.6590352622702e-109,1.4710818443031836e-105,"UCN2"
"2597",585014.5553426532,2.512836715664834,0.11870467546568768,1.8197365674903667e-100,3.0582947687384975e-97,"GAPDH"
"5236",1205.581723016381,2.647448980661416,0.12625053459338148,1.2372072126566872e-98,1.8482501082410177e-95,"PGM1"
"5214",3516.6444290671943,2.043674812553474,0.10374087707435795,2.5727484243491143e-87,3.4590602565373843e-84,"PFKP"
"128178",1239.167063912029,2.626128671647893,0.1339169224122136,1.2296188519330311e-86,1.5029295876581457e-83,"EDARADD"
"10528",3396.0004511904363,-3.3514993482401576,0.17815645689955195,3.5504348220003624e-81,3.977966348482906e-78,"NOP56"
"7086",17454.421621376525,1.7470549174683228,0.0932587286290339,4.4283934620598406e-79,4.5799807767226586e-76,"TKT"
"2783",4616.112973145829,2.346780666611803,0.13012899494758157,6.183995978893912e-74,5.938844709730618e-71,"GNB2"
"1192",5237.502518448807,1.8328575459235938,0.10164287051277544,1.691597927524622e-73,1.5162356090379028e-70,"CLIC1"
"3105",1263.6526607042972,3.037747328122096,0.16990737482501275,6.350742326784473e-73,5.3366081614760775e-70,"HLA-A"
"3956",43488.5756066469,2.3641654310347606,0.1321387600182635,2.4076470927400045e-72,1.9041655977581976e-69,"LGALS1"
