"entrez","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"29923",3760.6174156867864,3.101477045880668,0.11236732585271819,8.142142291572827e-169,1.3656001051425945e-164,"HILPDA"
"23645",1370.3609693406981,3.6261042073289076,0.1461942317419505,5.852522686548656e-137,4.907925524939703e-133,"PPP1R15A"
"7316",137032.3545889243,2.8648055081489887,0.12245070478536585,3.499901622891039e-122,1.9566783339709502e-118,"UBC"
"23764",1115.5502587740054,3.5547035320264007,0.15504712195312917,5.701659373700331e-118,2.390705775392549e-114,"MAFF"
"8870",1677.645906767334,3.5785804415014586,0.16236282772753463,3.0080172848997397e-109,1.0090093180467686e-105,"IER3"
"56910",1649.8112576824421,-2.7582345404087625,0.12932736019110938,3.637702312277369e-102,1.0168590530252672e-98,"STARD7"
"5514",999.5083454661969,-2.795458736779137,0.13442710704830754,3.6849828586872187e-97,8.829218929414576e-94,"PPP1R10"
"56270",4512.726491145559,2.5211185779115586,0.122133791747569,8.827452487174916e-96,1.850675413936221e-92,"WDR45B"
"2353",4057.433258410784,3.3341588816897008,0.16359210917227437,1.2950419509005083e-93,2.4133826222781476e-90,"FOS"
"5864",856.5247987889159,2.7411585101645364,0.14401051928887315,7.500459219466377e-82,1.257977020288901e-78,"RAB3A"
"353322",371.25718497844844,3.814702381354669,0.2016633112395284,3.6489006850201348e-81,5.563578389923427e-78,"ANKRD37"
"29904",822.3345130600926,-2.6724377666734447,0.14354215209363194,1.9293558820239044e-78,2.696596404442077e-75,"EEF2K"
"11247",1127.8343147681826,2.732208082084135,0.14769488218184595,1.4093754223577326e-77,1.81831112182953e-74,"NXPH4"
"51018",720.1652725058384,-3.181363915906905,0.17220721919739193,2.103399492318757e-77,2.519872591797871e-74,"RRP15"
"4616",419.07764131990837,3.92892084505104,0.21787152474123722,6.6654624253027816e-74,7.452875719811885e-71,"GADD45B"
"56901",2843.600852985744,2.7154881618404803,0.1523503681185196,2.2863866348909807e-72,2.3967047900244707e-69,"NDUFA4L2"
"1847",1106.9719313285225,2.468151479543306,0.138566274595331,3.596578530608788e-72,3.548342065610035e-69,"DUSP5"
"51299",3459.1886202880705,2.9873160230695586,0.1685115702753042,5.574655574689787e-72,5.194340183260951e-69,"NRN1"
"3005",8320.100482606196,2.5744325977823053,0.1479050905811839,3.8570189441071576e-69,3.4047327226613285e-66,"H1-0"
"133",1751.1772924697393,2.848094968682015,0.16450408981262313,2.4979993292749423e-68,2.0948222375299666e-65,"ADM"
"1195",2344.120883396637,3.128759586467503,0.18130643546641095,3.4428165325108803e-68,2.7496628039653562e-65,"CLK1"
"3164",723.2811109051394,2.8441769842698865,0.16540064202037763,7.355697548591661e-68,5.607716331135425e-65,"NR4A1"
"2645",1346.7010966648043,2.484139379430788,0.14613664300952844,8.841814227507628e-66,6.44760470538078e-63,"GCK"
"1843",7196.632316920512,4.938844198963378,0.3007280148036327,3.4600768815502666e-65,2.418017060723378e-62,"DUSP1"
"55003",320.4069148970233,-2.636358306599054,0.15698857246733317,2.1954120204410086e-64,1.4728580162734639e-61,"PAK1IP1"
"6513",3282.0335775081103,3.2261787914080307,0.19301792058662645,7.474487117104275e-64,4.821619151079727e-61,"SLC2A1"
"23462",1385.7254743344288,3.5640021981425907,0.21676864316514233,1.1936607256732464e-62,7.414843589256181e-60,"HEY1"
"378938",231028.10087199806,2.856097383959375,0.17386476326680067,1.317143885343208e-62,7.889691873205816e-60,"MALAT1"
"10397",53349.9329929485,3.0293975319241104,0.18486054972117508,3.869538691159164e-62,2.2379276871766035e-59,"NDRG1"
"3638",3851.2267690113654,2.224497764396884,0.13542696254767725,6.77722073667214e-62,3.7889182065155044e-59,"INSIG1"
"677776",1163.5175546302755,3.2152410086149175,0.19877438684074278,1.9333584870639043e-60,1.0460093079043807e-57,"SCARNA8"
"60370",712.0958430026857,3.0499835152167583,0.18895106043855917,8.633431483380743e-60,4.524997276226932e-57,"AVPI1"
"3976",518.4739768585232,2.193153748793649,0.13608784526434267,2.5361660026481154e-59,1.2889871574670967e-56,"LIF"
"8459",675.0747961084264,2.39769928087376,0.1497539326619686,1.1655946170775673e-58,5.7498096816544e-56,"TPST2"
"4792",1219.2060560369807,1.8967307425945181,0.1186111403546714,1.5273278791452456e-58,7.318955196864017e-56,"NFKBIA"
"647190",167.25841340318837,3.6866294819356487,0.2332897574156082,2.206942408203649e-57,1.0281899463997668e-54,"RPS16P5"
"84959",511.66603893128126,-2.5313564018844628,0.16035738471048,3.1254564010140675e-57,1.4167609394002145e-54,"UBASH3B"
"2498",4809.893191300956,2.06787998431976,0.13097312682406115,3.6239514218583324e-57,1.5994977170370513e-54,"FTH1P3"
"7039",456.24062356184396,2.1610284590387785,0.13759891068228333,1.47909054270686e-56,6.360847841610116e-54,"TGFA"
"7431",174040.78046265806,1.8949215468222573,0.12019406272371237,1.5276655890241705e-56,6.405501814778347e-54,"VIM"
"54552",2281.4677622990816,-1.765929818075864,0.1128628592594236,3.5412352263367807e-56,1.4486243223444021e-53,"GNL3L"
"23429",3708.126050607207,2.4313061483770215,0.15648830133111863,9.300856789609145e-56,3.6277667459377805e-53,"RYBP"
"56919",1140.583684847801,-1.9724496927666808,0.12659192381487988,9.12479972820156e-56,3.6277667459377805e-53,"DHX33"
"1445",978.4340722235644,-2.448842671927146,0.15800725333749144,1.5764526392549366e-55,6.009150833087227e-53,"CSK"
"7167",25275.729350731282,1.9639706240288202,0.12624154575884527,1.742169396939393e-55,6.493258916770555e-53,"TPI1"
"286016",3164.370047777445,1.8394951846551357,0.11828343443318241,2.1630907376601795e-55,7.886816924355768e-53,"TPI1P2"
"11097",456.9780736375695,-2.207035580150337,0.14261563467187377,3.1889027096167233e-55,1.1379633243764188e-52,"NUP42"
"348654",240.7561648972951,-2.993248436969434,0.19332281971708928,3.426380341626926e-55,1.197234397703475e-52,"GEN1"
"55900",228.72965062075863,-3.0170710542930466,0.19496424066628168,3.773427207193923e-55,1.29159022691952e-52,"ZNF302"
"9875",938.487169354684,-2.0827329672684787,0.1345810156853511,4.995983017003179e-55,1.6758525432235463e-52,"URB1"
"7296",2729.408160362139,-1.8625110265906148,0.12049526382401576,6.0269485493011196e-55,1.9820388444878115e-52,"TXNRD1"
"150094",773.758289613892,2.1858131048015617,0.1418251916512231,7.241010953219368e-55,2.3355045328345237e-52,"SIK1"
"256987",1758.1111133390477,-1.7315769658374338,0.11287293585908614,4.858143295505177e-54,1.5373731953247702e-51,"SERINC5"
"677815",467.9525429537733,2.0463269073487482,0.13360835739747526,5.600457533032437e-54,1.7394606248892598e-51,"SNORA2C"
"285855",1432.5864055078762,-1.7785847243302224,0.1162255956915239,8.543774001824893e-54,2.6053850465201292e-51,"RPL7L1"
"5454",2277.2278077630717,-1.9441710469875777,0.12733431238860207,1.0524474480481728e-53,3.1520801069042775e-51,"POU3F2"
"1198",1664.847934586508,2.0604302055559747,0.13508349849468007,1.1805597504957454e-53,3.473745286897306e-51,"CLK3"
"1026",2127.3560520644496,1.4784004851139183,0.09681631074369113,1.2123246993644556e-53,3.473948002836921e-51,"CDKN1A"
"112849",608.9174597586814,-2.658746262348737,0.17486858130646418,1.2220542103945762e-53,3.473948002836921e-51,"L3HYPDH"
"5210",1266.3721785085834,1.5618433839479158,0.10233944511281078,2.100135889661516e-53,5.870579856900492e-51,"PFKFB4"
"441531",6894.542920247419,1.7038382133424166,0.11175551628419472,2.385081107968932e-53,6.557800056205726e-51,"PGAM4"
"55153",803.5292227694783,-2.280394962985266,0.1499326455183627,2.6796601995714827e-53,7.248913043098856e-51,"SDAD1"
"51605",788.6256802668217,-2.7683894538262663,0.18222245790959712,3.1043027514851716e-53,8.264343769509413e-51,"TRMT6"
"55344",6511.539175775324,1.995895122931827,0.13152237967968003,5.574223808602425e-53,1.460795026841873e-50,"PLCXD1"
"283373",956.8155833592926,-1.8524792268606216,0.12208099033504852,6.2658478195702995e-53,1.6167815327666626e-50,"ANKRD52"
"3486",4316.07248805685,2.7799907371818366,0.18494854813504885,7.377688780663926e-53,1.8748272155953842e-50,"IGFBP3"
"677832",753.0575759069156,2.485994507146231,0.16431340780802833,7.860350021739329e-53,1.9676685158897317e-50,"SNORA53"
"467",2119.5390305439873,3.753439568903102,0.2511108850440562,9.348599188030617e-53,2.305804493847787e-50,"ATF3"
"6781",2080.8985784768197,2.6567653059923098,0.1772248440371657,6.449514240108091e-52,1.5676993164506217e-49,"STC1"
"64110",1500.811103023525,-1.699306292546239,0.11343421618725427,1.1241287823087758e-51,2.6934125624118267e-49,"MAGEF1"
"2778",26032.450548665955,1.587215086692083,0.10603962889495847,1.9474594593825667e-51,4.600392965178086e-49,"GNAS"
"9344",406.1279483450237,-2.4908492842764502,0.1674098924993103,3.8329981271482944e-51,8.928756192851555e-49,"TAOK2"
"57539",752.8424069410112,-2.4535692723369498,0.16522375079853552,4.609017080641875e-51,1.0589374585825416e-48,"WDR35"
"8553",4260.881085865159,2.200040808074188,0.14875883427455777,7.927111431122455e-51,1.7966690935511597e-48,"BHLHE40"
"4857",501.35480154038135,-1.990806408176936,0.13414803970190384,8.781701240414012e-51,1.9638225760563174e-48,"NOVA1"
"10528",1593.398889186763,-2.102026998855674,0.14252334959467053,1.7822851817907067e-50,3.933221982762333e-48,"NOP56"
"1848",2170.914631259886,-2.605229984562603,0.17733626959216306,1.8283155172481481e-50,3.9824036175696023e-48,"DUSP6"
"9870",478.2269667535163,-2.1567082365801653,0.14621117361749725,3.192026970914893e-50,6.8636764559211e-48,"AREL1"
"6657",4730.895101804046,-1.9154021563152506,0.13019586844010694,4.999900873271133e-50,1.061497942360803e-47,"SOX2"
"84679",2652.1702781376785,2.9973749796007545,0.20545840055909032,6.121019517379605e-50,1.2832717418186343e-47,"SLC9A7"
"4504",579.3714010369242,2.5768467207841366,0.1767951819230801,1.7719192976838684e-49,3.668966723549857e-47,"MT3"
"55745",348.88321810933536,-2.1970158086159506,0.15033711720891027,1.974634079349372e-49,4.0388491193716664e-47,"AP5M1"
"8660",1711.8203896167436,1.9351958247452958,0.13249665827541288,2.892321734975262e-49,5.844580739639168e-47,"IRS2"
"90226",224.50918727086534,2.7702937364606712,0.18998799720829349,3.2290266724712857e-49,6.447289922701e-47,"UCN2"
"9816",430.2982329767254,-2.770851178873472,0.19063855957413345,5.866009327397473e-49,1.1574671581071814e-46,"URB2"
"728402",3684.7580418031885,2.0497195212114923,0.14111809914990106,6.44150915839464e-49,1.2562440884255221e-46,"TPI1P3"
"389792",816.7058702170916,2.427509564636435,0.1678570091403677,1.9978647815791678e-48,3.851515875476529e-46,"IER5L"
"100124539",378.1484494259957,2.086916045572417,0.1446816970602797,2.885526890095921e-48,5.4995519318964536e-46,"SNORA11B"
"64651",672.9444039306914,2.736434924870601,0.19089975006259655,3.8684931567911177e-48,7.290153620865238e-46,"CSRNP1"
"1028",701.0217726050989,2.9118396335207586,0.2023777139317909,4.1319188519554593e-48,7.700060331666329e-46,"CDKN1C"
"4507",1224.2664336445923,-1.7635704293542949,0.12222529174484835,4.321630998216286e-48,7.965098362866323e-46,"MTAP"
"8717",707.5578871558877,2.2433427650216995,0.1557949296364429,5.194718911206792e-48,9.470198432473949e-46,"TRADD"
"3725",3780.6219647856688,2.646185941609241,0.18511980838397168,7.149208955368914e-48,1.2893175548327679e-45,"JUN"
"22796",559.9045583048037,-1.9363444510436987,0.13498018757054833,1.0415929950560677e-47,1.8584678418170604e-45,"COG2"
"2495",12641.557797684056,2.0899291820108514,0.145901472156725,1.208559483111804e-47,2.133679963236966e-45,"FTH1"
"8503",1374.1764768856717,-1.7241939651397635,0.12009224631056373,1.237109339910504e-47,2.1613331092686432e-45,"PIK3R3"
"113263",1181.3464624909097,-2.037622696971802,0.14232228854525875,1.521845087017801e-47,2.631379979326037e-45,"GLCCI1"
"677845",330.5666418885038,2.2818820691212456,0.1599069101038602,2.087350648581637e-47,3.572351538572573e-45,"SNORA79"
"100129617",109.53497402976926,3.4327219741861064,0.23998242187380578,2.1746672366293987e-47,3.684193827550331e-45,"LOC100129617"
"9766",249.70047521414338,-2.2281586896262824,0.15706467238689525,1.0847794994869816e-46,1.8193921765395657e-44,"SUSD6"
